second;src;DioCount;DisCount;DaoCount;OtherMsg;label
60.0;fe80::c30c:0:0:c;0;224;0;0;1
60.0;fe80::c30c:0:0:3;30;0;0;0;0
60.0;fe80::c30c:0:0:a;0;0;6;0;0
61.0;fe80::c30c:0:0:8;0;0;33;0;0
61.0;fe80::c30c:0:0:c;0;142;0;0;1
61.0;fe80::c30c:0:0:a;0;0;3;0;0
61.0;fe80::c30c:0:0:b;30;0;31;0;0
62.0;fe80::c30c:0:0:4;0;0;37;0;0
62.0;fe80::c30c:0:0:c;0;158;0;0;1
62.0;fe80::c30c:0:0:9;0;0;68;0;0
62.0;fe80::c30c:0:0:7;30;0;0;0;0
63.0;fe80::c30c:0:0:4;30;0;0;0;0
63.0;fe80::c30c:0:0:5;30;0;0;0;0
63.0;fe80::c30c:0:0:c;0;140;23;0;1
63.0;fe80::c30c:0:0:6;30;0;0;0;0
63.0;fe80::c30c:0:0:8;30;0;0;0;0
64.0;fe80::c30c:0:0:c;0;163;0;0;1
64.0;fe80::c30c:0:0:9;30;0;0;0;0
65.0;fe80::c30c:0:0:2;30;0;0;0;0
65.0;fe80::c30c:0:0:c;0;54;0;0;1
65.0;fe80::c30c:0:0:3;29;0;0;0;0
65.0;fe80::c30c:0:0:b;30;0;0;0;0
66.0;fe80::c30c:0:0:3;1;0;0;0;0
66.0;fe80::c30c:0:0:2;30;0;0;0;0
66.0;fe80::c30c:0:0:b;30;0;72;0;0
66.0;fe80::c30c:0:0:c;0;123;0;0;1
66.0;fe80::c30c:0:0:6;30;0;115;0;0
67.0;fe80::c30c:0:0:2;0;0;273;0;0
67.0;fe80::c30c:0:0:6;0;0;166;0;0
67.0;fe80::c30c:0:0:7;3;0;0;0;0
67.0;fe80::c30c:0:0:b;0;0;3;0;0
68.0;fe80::c30c:0:0:9;30;0;0;0;0
68.0;fe80::c30c:0:0:7;27;0;0;0;0
68.0;fe80::c30c:0:0:2;0;0;38;0;0
68.0;fe80::c30c:0:0:c;0;59;0;0;1
68.0;fe80::c30c:0:0:6;0;0;31;0;0
69.0;fe80::c30c:0:0:5;30;0;2;0;0
69.0;fe80::c30c:0:0:4;0;0;14;0;0
